"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"D1,D2";"LED_0805_2012Metric";2;"LED";;;
2;"J1";"PinSocket_2x08_P2.54mm_Vertical";1;"Raspberry_Pi_2_3";;;
3;"R1";"R_0805_2012Metric";1;"10k";;;
4;"R2";"R_0805_2012Metric";1;"330k";;;
5;"R3,R4";"R_0805_2012Metric";2;"R";;;
6;"U1";"PinSocket_1x03_P2.54mm_Vertical";1;"DHT22";;;
7;"SW1";"KSA_Tactile_SPST";1;"SW_DPST";;;
