Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",140.190400,-108.251600,90.000000,top
"C2","22uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",143.190400,-94.301600,180.000000,top
"C3","100nF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",146.040400,-108.251600,90.000000,top
"D1","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",142.990400,-112.251600,0.000000,top
"Q1","MUN5214DW1","SOT-363_SC-70-6",143.090400,-108.501600,90.000000,top
"R1","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",142.940400,-114.851600,180.000000,top
"U1","AZ1117","SOT-223-3_TabPin2",143.090400,-100.951600,90.000000,top
