"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"SW_PUSH_6mm_H8mm";1;"SW_DPST";;;
2;"LED1,LED2";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"LED";;;
3;"U1";"PinSocket_1x04_P2.54mm_Vertical";1;"DHT22";;;
4;"R4,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"10k";;;
5;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10K";;;
6;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"330";;;
7;"J1";"PinHeader_2x08_P2.54mm_Vertical";1;"Raspberry_Pi_2_3";;;
